symbol,level_1,coefficient,estimate,t_statistic,is_significant
AAPL,1,beta,1.2146444661397617,8.941685544349221,True
AMGN,1,beta,0.5513466949145137,3.4968506242955515,True
AMZN,1,beta,1.124523473091419,5.7910836235928675,True
AXP,1,beta,1.235831209274194,7.804946846023012,True
BA,1,beta,1.5939312694315908,5.600432530347803,True
CAT,1,beta,1.0405574190523228,5.376038133367771,True
CSCO,1,beta,0.8214348357476045,5.222393839461286,True
CVX,1,beta,1.123767741319751,5.3804106276433155,True
DIS,1,beta,1.3777432502928744,8.27379416294569,True
GS,1,beta,1.3920511257236603,10.673470435614838,True
HD,1,beta,0.9445108931525654,7.179855816484131,True
HON,1,beta,0.99720711912123,7.962690252735354,True
IBM,1,beta,0.6259436815341839,4.406209410827809,True
JNJ,1,beta,0.4632968196638955,4.228649775599151,True
JPM,1,beta,1.089782627046889,7.797096605339295,True
KO,1,beta,0.5698225521817518,4.897337872299869,True
MCD,1,beta,0.7248823775175693,6.969982223904988,True
MMM,1,beta,0.9364284195142236,7.928046473706395,True
MRK,1,beta,0.33816277287656393,2.192965749992541,True
MSFT,1,beta,0.8276619907807424,7.021525964236736,True
NKE,1,beta,1.0214184434080784,6.001887735710136,True
NVDA,1,beta,1.5255252896567209,5.116098560236035,True
PG,1,beta,0.37021423685386956,2.96868667930529,True
SHW,1,beta,1.0878048854112314,7.345653422228267,True
TRV,1,beta,0.5918884192773122,4.222009666766432,True
UNH,1,beta,0.545059280802639,4.110053844942481,True
VZ,1,beta,0.3728557805718641,3.078337501774814,True
WMT,1,beta,0.447557996231293,3.6865940242843522,True
