symbol,market_cap,shares_outstanding
GS,217880403825.8203,302720992
MSFT,3901966945727.625,7491680256
CAT,195411961529.46484,468479008
HD,384838103783.3418,996550976
SHW,87249092064.39062,249332992
V,644566768118.9453,1940940032
MCD,220165821038.36914,715033024
AXP,205661130374.04492,697795008
JPM,789013276304.2969,2749750016
AMGN,153271663416.60156,538361984
TRV,59741554942.13867,225134000
IBM,233028790447.48438,931518976
CRM,238206475781.57812,988900992
UNH,222957003851.44043,911256000
BA,171897403161.84668,756158016
AMZN,2379659096252.625,10664899584
HON,139188392074.6748,642665024
AAPL,3370617484931.5312,15318899712
NVDA,4441555170544.5,24570200064
JNJ,413466184390.66406,2410459904
PG,359530391534.54297,2342370048
CVX,311409506894.23047,2033229952
MMM,80821281553.66406,532630016
DIS,202950331655.7578,1797929984
WMT,824855852620.7617,7998989824
MRK,200746582888.51758,2497779968
NKE,109807510367.22949,1476899968
KO,303107462510.1758,4303669760
CSCO,276804006042.48047,3960000000
VZ,181090947216.79688,4216320000
